Codigo,Programa,Plan,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
SE1100,Mantenimiento Industrial,,-,2,9,0,2,0
SE1100,Electromecánica,,Básicas,3,9,2,0,0
SE1100,AeronáuticaV2,,-,2,9,0,2,0
SE1200,Mantenimiento Industrial,,Básicas,1,10,0,2,0
SE1200,AeronáuticaV2,,-,1,9,0,2,0
SE1200,AeronáuticaV1,,-,1,9,0,2,0
SE1200,Electromecánica,,Básicas,2,9,0,2,0
SE1400,Electromecánica,,Básica,7,9,0,2,0
SE1400,Mantenimiento Industrial,,Básica,3,10,0,2,0
SE1400,AeronáuticaV2,,-,3,9,0,2,0
SE1400,AeronáuticaV1,,-,3,9,0,2,0
SO2601,AeronáuticaV2,,-,3,8,2,0,1
SO2601,AeronáuticaV1,,-,3,8,2,0,1
SO2601,Mantenimiento Industrial,,-,8,8,2,0,1
